pic_num,training_loop.thisRepN,training_loop.thisTrialN,training_loop.thisN,training_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro_text.started,intro_click.started,intro_click.x,intro_click.y,intro_click.leftButton,intro_click.midButton,intro_click.rightButton,intro_click.time,show_images.started,image0_name,image0_position,image1_name,image1_position,image2_name,image2_position,image3_name,image3_position,image4_name,image4_position,image5_name,image5_position,image6_name,image6_position,image7_name,image7_position,image8_name,image8_position,image9_name,image9_position,image10_name,image10_position,image11_name,image11_position,image12_name,image12_position,image0.started,image1.started,image2.started,image3.started,image4.started,image5.started,image6.started,image7.started,image8.started,image9.started,image10.started,image11.started,image12.started,show_images.stopped,blank_screen.started,blank_text.started,blank_text.stopped,blank_screen.stopped,show_images_changed.started,correct_image,correct_image_name,correct_image_pos,image0_2.started,image1_2.started,image2_2.started,image3_2.started,image4_2.started,image5_2.started,image6_2.started,image7_2.started,image8_2.started,image9_2.started,image10_2.started,image11_2.started,image12_2.started,mouse.started,show_images_changed.stopped,is_correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_image,feedback.started,feedback_text.started,feedback_text.stopped,feedback.stopped,begin_real_trial.started,text.started,begin_real_trial.stopped,so_long_and_thanks_for_all_the_fish.started,goodbye_text.started,goodbye_click.started,so_long_and_thanks_for_all_the_fish.stopped,goodbye_click.x,goodbye_click.y,goodbye_click.leftButton,goodbye_click.midButton,goodbye_click.rightButton,goodbye_click.time,id,age,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.06974209999998493,0.053198300000076415,[-0.04921875],[1.0],[1],[0],[0],[65.40109700000016],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP02,5,2024-05-05_15h07.08.493,visual_memory,2023.2.3,59.982677002832574,2024-05-05 15h11.53.335218 +0200,
,,,,,,,,,,,,,150.16258159999984,,,,,,,,,,149.72955779999984,alma.png,"[-0.75, 0.25]",szemuveg.png,"[-0.75, -0.25]",hajszarito.png,"[0.25, -0.25]",macko.png,"[0.75, -0.75]",kad.png,"[-0.25, -0.75]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",150.16258159999984,150.16258159999984,150.16258159999984,150.16258159999984,150.16258159999984,150.16258159999984,150.16258159999984,150.16258159999984,150.16258159999984,150.16258159999984,150.16258159999984,150.16258159999984,150.16258159999984,159.72072059999982,159.7207449,159.73709069999995,160.6546879,160.22149409999997,160.22150829999987,image4_2,ora.png,"[-0.25, -0.75]",161.7223649,161.7223649,161.7223649,161.7223649,161.7223649,161.7223649,161.7223649,161.7223649,161.7223649,161.7223649,161.7223649,161.7223649,161.7223649,0.0017967999999655149,170.19872369999985,False,[0.725],[-0.7444444444444445],[1],[0],[0],[8.475735900000018],['image3_2'],['macko.png'],170.19955289999984,170.21282899999983,172.21433899999988,172.19813969999996,172.19819280000002,172.21433899999988,207.84522629999992,,,,,,,,,,,PP02,5,2024-05-05_15h07.08.493,visual_memory,2023.2.3,59.982677002832574,2024-05-05 15h11.53.335218 +0200,
5,,,,,0,0,0,0,0,0,0,0,208.29472220000002,,,,,,,,,,207.85553800000002,kad.png,"[0.75, -0.25]",macko.png,"[-0.25, -0.75]",fotel.png,"[-0.75, -0.25]",ceruza.png,"[-0.25, -0.25]",esernyo.png,"[-0.75, -0.75]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",208.29472220000002,208.29472220000002,208.29472220000002,208.29472220000002,208.29472220000002,208.29472220000002,208.29472220000002,208.29472220000002,208.29472220000002,208.29472220000002,208.29472220000002,208.29472220000002,208.29472220000002,217.83623599999987,241.22576370000002,241.2393207,242.15685299999996,241.72343339999998,218.33716249999998,image4_2,laptop.png,"[-0.75, -0.75]",219.83791169999995,219.83791169999995,219.83791169999995,219.83791169999995,219.83791169999995,219.83791169999995,219.83791169999995,219.83791169999995,219.83791169999995,219.83791169999995,219.83791169999995,219.83791169999995,219.83791169999995,0.0018637000000580883,241.22451419999993,True,[-0.61015625],[-0.7138888888888889],[1],[0],[0],[21.385956899999883],['image4_2'],['laptop.png'],,,,,,,,,,,,,,,,,,PP02,5,2024-05-05_15h07.08.493,visual_memory,2023.2.3,59.982677002832574,2024-05-05 15h11.53.335218 +0200,
5,,,,,0,0,0,0,1,0,1,0,242.15685299999996,,,,,,,,,,241.72376179999992,papucs.png,"[0.25, -0.75]",vodor.png,"[-0.25, -0.25]",ora.png,"[-0.25, 0.75]",ollo.png,"[0.25, 0.25]",esernyo.png,"[0.25, -0.25]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",243.24073090000002,243.24073090000002,243.24073090000002,243.24073090000002,243.24073090000002,243.24073090000002,243.24073090000002,243.24073090000002,243.24073090000002,243.24073090000002,243.24073090000002,243.24073090000002,243.24073090000002,253.21611789999997,261.57587939999985,261.58951979999983,262.5072367999999,262.0739134999999,253.71648749999986,image4_2,macko.png,"[0.25, -0.25]",255.21757000000002,255.21757000000002,255.21757000000002,255.21757000000002,255.21757000000002,255.21757000000002,255.21757000000002,255.21757000000002,255.21757000000002,255.21757000000002,255.21757000000002,255.21757000000002,255.21757000000002,0.001623899999913192,261.5750616999999,False,[-0.215625],[0.6291666666666667],[1],[0],[0],[6.356825700000172],['image2_2'],['ora.png'],,,,,,,,,,,,,,,,,,PP02,5,2024-05-05_15h07.08.493,visual_memory,2023.2.3,59.982677002832574,2024-05-05 15h11.53.335218 +0200,
5,,,,,0,0,0,0,2,0,2,0,262.5072367999999,,,,,,,,,,262.07423919999997,esernyo.png,"[-0.25, -0.25]",letra.png,"[0.75, -0.75]",papucs.png,"[0.75, 0.25]",bogre.png,"[-0.75, 0.25]",zokni.png,"[-0.75, -0.75]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",263.5911566,263.5911566,263.5911566,263.5911566,263.5911566,263.5911566,263.5911566,263.5911566,263.5911566,263.5911566,263.5911566,263.5911566,263.5911566,273.56737799999996,294.3368424,294.3504633,295.267838,294.8345775,274.06736419999993,image4_2,laptop.png,"[-0.75, -0.75]",275.56812249999984,275.56812249999984,275.56812249999984,275.56812249999984,275.56812249999984,275.56812249999984,275.56812249999984,275.56812249999984,275.56812249999984,275.56812249999984,275.56812249999984,275.56812249999984,275.56812249999984,0.0008949000000484375,294.33601109999995,True,[-0.7078125],[-0.6847222222222222],[1],[0],[0],[18.767179599999963],['image4_2'],['laptop.png'],,,,,,,,,,,,,,,,,,PP02,5,2024-05-05_15h07.08.493,visual_memory,2023.2.3,59.982677002832574,2024-05-05 15h11.53.335218 +0200,
5,,,,,0,0,0,0,3,0,3,0,295.267838,,,,,,,,,,294.8349218999999,papucs.png,"[-0.25, -0.25]",fogas.png,"[-0.75, -0.75]",letra.png,"[-0.75, 0.25]",ceruza.png,"[0.25, 0.75]",zokni.png,"[0.75, -0.75]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",296.35215789999984,296.35215789999984,296.35215789999984,296.35215789999984,296.35215789999984,296.35215789999984,296.35215789999984,296.35215789999984,296.35215789999984,296.35215789999984,296.35215789999984,296.35215789999984,296.35215789999984,306.3276478,319.8085166999999,319.82210239999995,320.73952369999984,320.3060903999999,306.8280706999999,image4_2,macko.png,"[0.75, -0.75]",308.32862309999996,308.32862309999996,308.32862309999996,308.32862309999996,308.32862309999996,308.32862309999996,308.32862309999996,308.32862309999996,308.32862309999996,308.32862309999996,308.32862309999996,308.32862309999996,308.32862309999996,0.0011375999999927444,319.80766889999995,True,"[0.44296875, 0.59921875]","[1.0, -0.7319444444444444]","[1, 1]","[0, 0]","[0, 0]","[5.857307799999944, 11.478273899999976]",['image4_2'],['macko.png'],,,,,,,,,,,,,,,,,,PP02,5,2024-05-05_15h07.08.493,visual_memory,2023.2.3,59.982677002832574,2024-05-05 15h11.53.335218 +0200,
5,,,,,0,0,0,0,4,0,4,0,320.73952369999984,,,,,,,,,,320.30642709999984,kad.png,"[-0.25, -0.75]",szemuveg.png,"[-0.25, 0.75]",hajszarito.png,"[0.25, 0.75]",macko.png,"[0.75, 0.25]",zokni.png,"[-0.25, 0.25]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",321.82338979999986,321.82338979999986,321.82338979999986,321.82338979999986,321.82338979999986,321.82338979999986,321.82338979999986,321.82338979999986,321.82338979999986,321.82338979999986,321.82338979999986,321.82338979999986,321.82338979999986,331.79906289999985,347.113875,347.1277296999999,348.4123255999998,347.6123911999998,332.2994885999999,image4_2,bogre.png,"[-0.25, 0.25]",333.80001449999986,333.80001449999986,333.80001449999986,333.80001449999986,333.80001449999986,333.80001449999986,333.80001449999986,333.80001449999986,333.80001449999986,333.80001449999986,333.80001449999986,333.80001449999986,333.80001449999986,0.0011119000000689994,347.11306509999986,False,[-0.22109375],[0.6361111111111111],[1],[0],[0],[13.312416199999916],['image1_2'],['szemuveg.png'],,,,,,,,,,,,,,,,,,PP02,5,2024-05-05_15h07.08.493,visual_memory,2023.2.3,59.982677002832574,2024-05-05 15h11.53.335218 +0200,
5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP02,5,2024-05-05_15h07.08.493,visual_memory,2023.2.3,59.982677002832574,2024-05-05 15h11.53.335218 +0200,
9,,,,,0,1,1,1,0,0,0,0,348.4123255999998,,,,,,,,,,347.61328609999987,zokni.png,"[-0.75, -0.75]",letra.png,"[0.25, 0.75]",hajszarito.png,"[0.75, -0.25]",laptop.png,"[-0.75, 0.25]",alma.png,"[-0.25, 0.25]",macko.png,"[0.25, 0.25]",ceruza.png,"[-0.25, 0.75]",esernyo.png,"[0.75, 0.75]",auto.png,"[-0.75, -0.25]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",349.1299916999999,349.1299916999999,349.1299916999999,349.1299916999999,349.1299916999999,349.1299916999999,349.1299916999999,349.1299916999999,349.1299916999999,349.1299916999999,349.1299916999999,349.1299916999999,349.1299916999999,359.10518049999996,368.4664378,368.4792674999999,369.69717219999984,368.96365419999984,359.6058287999999,image8_2,kad.png,"[-0.75, -0.25]",361.12288209999997,361.12288209999997,361.12288209999997,361.12288209999997,361.12288209999997,361.12288209999997,361.12288209999997,361.12288209999997,361.12288209999997,361.12288209999997,361.12288209999997,361.12288209999997,361.12288209999997,0.018044000000145388,368.46516109999993,False,[0.328125],[0.7361111111111112],[1],[0],[0],[7.341283500000145],['image1_2'],['letra.png'],,,,,,,,,,,,,,,,,,PP02,5,2024-05-05_15h07.08.493,visual_memory,2023.2.3,59.982677002832574,2024-05-05 15h11.53.335218 +0200,
9,,,,,0,1,1,1,1,0,1,0,369.69717219999984,,,,,,,,,,368.96398469999986,macko.png,"[0.25, 0.25]",fotel.png,"[0.75, 0.75]",ora.png,"[0.75, 0.25]",auto.png,"[0.75, -0.75]",zokni.png,"[-0.25, -0.25]",alma.png,"[-0.25, 0.25]",kad.png,"[-0.25, -0.75]",esernyo.png,"[0.25, -0.25]",ceruza.png,"[-0.75, -0.25]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",blank.png,"[2, 2]",370.4802227,370.4802227,370.4802227,370.4802227,370.4802227,370.4802227,370.4802227,370.4802227,370.4802227,370.4802227,370.4802227,370.4802227,370.4802227,380.4565722,387.53153069999985,387.5454599999998,388.62998159999984,388.0295228,380.9568294999999,image8_2,bogre.png,"[-0.75, -0.25]",382.4574905999998,382.4574905999998,382.4574905999998,382.4574905999998,382.4574905999998,382.4574905999998,382.4574905999998,382.4574905999998,382.4574905999998,382.4574905999998,382.4574905999998,382.4574905999998,382.4574905999998,0.0010872000000290427,387.53071909999994,False,[-0.26015625],[-0.7444444444444445],[1],[0],[0],[5.072555100000045],['image6_2'],['kad.png'],,,,,,,,,,,,,,,,,,PP02,5,2024-05-05_15h07.08.493,visual_memory,2023.2.3,59.982677002832574,2024-05-05 15h11.53.335218 +0200,
