filename	pic_num	training_loop.thisRepN	training_loop.thisTrialN	training_loop.thisN	training_loop.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	intro_text.started	intro_click.started	intro_click.x	intro_click.y	intro_click.leftButton	intro_click.midButton	intro_click.rightButton	intro_click.time	show_images.started	image0_name	image0_position	image1_name	image1_position	image2_name	image2_position	image3_name	image3_position	image4_name	image4_position	image5_name	image5_position	image6_name	image6_position	image7_name	image7_position	image8_name	image8_position	image9_name	image9_position	image10_name	image10_position	image11_name	image11_position	image12_name	image12_position	image0.started	image1.started	image2.started	image3.started	image4.started	image5.started	image6.started	image7.started	image8.started	image9.started	image10.started	image11.started	image12.started	show_images.stopped	blank_screen.started	blank_text.started	blank_text.stopped	blank_screen.stopped	show_images_changed.started	correct_image	correct_image_name	correct_image_pos	image0_2.started	image1_2.started	image2_2.started	image3_2.started	image4_2.started	image5_2.started	image6_2.started	image7_2.started	image8_2.started	image9_2.started	image10_2.started	image11_2.started	image12_2.started	mouse.started	show_images_changed.stopped	is_correct	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	mouse.clicked_name	mouse.clicked_image	feedback.started	feedback_text.started	feedback.stopped	feedback_text.stopped	begin_real_trial.started	text.started	begin_real_trial.stopped	so_long_and_thanks_for_all_the_fish.started	goodbye_text.started	goodbye_click.started	so_long_and_thanks_for_all_the_fish.stopped	goodbye_click.x	goodbye_click.y	goodbye_click.leftButton	goodbye_click.midButton	goodbye_click.rightButton	goodbye_click.time	id	age	date	expName	psychopyVersion	frameRate	expStart	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	9					0	1	1	1	2	0	2	0	251.28299112501554										250.6150239589624	hajszarito.png	[0.25, -0.25]	esernyo.png	[-0.75, -0.25]	laptop.png	[0.75, -0.25]	ceruza.png	[-0.25, -0.75]	zokni.png	[-0.25, -0.25]	ollo.png	[0.75, 0.75]	bogre.png	[-0.75, -0.75]	vodor.png	[-0.75, 0.25]	ora.png	[0.25, 0.25]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	252.11836704192683	252.11836704192683	252.11836704192683	252.11836704192683	252.11836704192683	252.11836704192683	252.11836704192683	252.11836704192683	252.11836704192683	252.11836704192683	252.11836704192683	252.11836704192683	252.11836704192683	262.09799150004983	275.66283049993217	275.66817541699857	276.8194797919132	276.1650207499042	262.59833220904693	image8_2	fotel.png	[0.25, 0.25]	264.11956608388573	264.11956608388573	264.11956608388573	264.11956608388573	264.11956608388573	264.11956608388573	264.11956608388573	264.11956608388573	264.11956608388573	264.11956608388573	264.11956608388573	264.11956608388573	264.11956608388573	-0.00010816683061420918	275.662116084015	False	[0.2902777777777778]	[-0.15777777777777777]	[1]	[0]	[0]	[11.563078291947022]	['image0_2']	['hajszarito.png']																		Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	9					0	1	1	1	3	0	3	0	276.8194797919132										276.1654593748972	fotel.png	[-0.25, 0.75]	vodor.png	[0.75, -0.25]	ollo.png	[-0.75, -0.25]	ora.png	[0.75, 0.75]	zokni.png	[0.25, 0.25]	letra.png	[0.75, 0.25]	alma.png	[-0.75, 0.25]	papucs.png	[-0.75, 0.75]	macko.png	[-0.25, -0.25]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	277.6852602090221	277.6852602090221	277.6852602090221	277.6852602090221	277.6852602090221	277.6852602090221	277.6852602090221	277.6852602090221	277.6852602090221	277.6852602090221	277.6852602090221	277.6852602090221	277.6852602090221	287.66030099987984	294.89531633397564	294.9010495839175	296.06416758405976	295.39869220904075	288.1653565419838	image8_2	ceruza.png	[-0.25, -0.25]	289.67443345906213	289.67443345906213	289.67443345906213	289.67443345906213	289.67443345906213	289.67443345906213	289.67443345906213	289.67443345906213	289.67443345906213	289.67443345906213	289.67443345906213	289.67443345906213	289.67443345906213	0.014348874799907207	294.89449504204094	False	[-0.7152777777777778]	[-0.30666666666666664]	[1]	[0]	[0]	[5.21924320794642]	['image2_2']	['ollo.png']																		Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	9					0	1	1	1	4	0	4	0	296.06416758405976										295.39904341707006	alma.png	[0.75, -0.25]	ceruza.png	[-0.25, -0.25]	hajszarito.png	[-0.75, -0.75]	fagyi.png	[0.75, -0.75]	szemuveg.png	[0.25, -0.75]	auto.png	[-0.25, -0.75]	fogas.png	[-0.25, 0.75]	kamera.png	[-0.75, -0.25]	zokni.png	[0.75, 0.75]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	296.9089873749763	296.9089873749763	296.9089873749763	296.9089873749763	296.9089873749763	296.9089873749763	296.9089873749763	296.9089873749763	296.9089873749763	296.9089873749763	296.9089873749763	296.9089873749763	296.9089873749763	306.8924487500917	315.7049690000713	315.71094629191794	317.1487630000338	316.2066669170745	307.39940620888956	image8_2	esernyo.png	[0.75, 0.75]	308.9074151250534	308.9074151250534	308.9074151250534	308.9074151250534	308.9074151250534	308.9074151250534	308.9074151250534	308.9074151250534	308.9074151250534	308.9074151250534	308.9074151250534	308.9074151250534	308.9074151250534	0.015176000073552132	315.70422570896335	True	[0.7430555555555556]	[0.7866666666666666]	[1]	[0]	[0]	[6.796131832990795]	['image8_2']	['esernyo.png']																		Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	9					0	1	1	1																																																																																																									Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	13					0	2	2	2	0	0	0	0	317.1487630000338										316.2084840419702	ollo.png	[0.25, -0.25]	macko.png	[-0.75, 0.75]	auto.png	[-0.25, -0.75]	fogas.png	[-0.75, 0.25]	letra.png	[-0.25, 0.75]	fotel.png	[0.25, 0.75]	ora.png	[0.75, 0.75]	fagyi.png	[-0.75, -0.25]	zokni.png	[0.25, -0.75]	ceruza.png	[0.75, -0.75]	kad.png	[0.25, 0.25]	bogre.png	[-0.75, -0.75]	kamera.png	[0.75, -0.25]	317.7223133340012	317.7223133340012	317.7223133340012	317.7223133340012	317.7223133340012	317.7223133340012	317.7223133340012	317.7223133340012	317.7223133340012	317.7223133340012	317.7223133340012	317.7223133340012	317.7223133340012	327.7000248339027	343.62345441710204	343.6290736668743	345.06618016702123	344.12380895903334	328.1998020838946	image12_2	hajszarito.png	[0.75, -0.25]	329.7225033750292	329.7225033750292	329.7225033750292	329.7225033750292	329.7225033750292	329.7225033750292	329.7225033750292	329.7225033750292	329.7225033750292	329.7225033750292	329.7225033750292	329.7225033750292	329.7225033750292	-0.00039849989116191864	343.62226795894094	False	[0.29583333333333334]	[-0.7066666666666667]	[1]	[0]	[0]	[13.921505708945915]	['image8_2']	['zokni.png']																		Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	13					0	2	2	2	1	0	1	0	345.06618016702123										344.1242674170062	laptop.png	[-0.75, 0.75]	alma.png	[0.25, 0.75]	kad.png	[0.75, 0.25]	kamera.png	[0.75, 0.75]	hajszarito.png	[-0.25, 0.25]	fogas.png	[-0.25, -0.25]	papucs.png	[0.75, -0.75]	vodor.png	[0.25, -0.25]	zokni.png	[-0.75, -0.25]	szemuveg.png	[-0.25, -0.75]	ceruza.png	[-0.75, -0.75]	fagyi.png	[-0.25, 0.75]	ollo.png	[0.25, 0.25]	345.63884075009264	345.63884075009264	345.63884075009264	345.63884075009264	345.63884075009264	345.63884075009264	345.63884075009264	345.63884075009264	345.63884075009264	345.63884075009264	345.63884075009264	345.63884075009264	345.63884075009264	355.61900258390233	370.95972983399406	370.96686029201373	372.4105247920379	371.4675102920737	356.117221374996	image12_2	letra.png	[0.25, 0.25]	357.63978499989025	357.63978499989025	357.63978499989025	357.63978499989025	357.63978499989025	357.63978499989025	357.63978499989025	357.63978499989025	357.63978499989025	357.63978499989025	357.63978499989025	357.63978499989025	357.63978499989025	0.021005959017202258	370.9590597918723	False	[0.25]	[-0.19555555555555557]	[1]	[0]	[0]	[13.31861299998127]	['image7_2']	['vodor.png']																		Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	13					0	2	2	2	2	0	2	0	372.4105247920379										371.46795708406717	papucs.png	[0.75, 0.75]	auto.png	[0.25, 0.25]	fagyi.png	[0.75, -0.25]	letra.png	[-0.25, 0.75]	alma.png	[-0.25, -0.25]	szemuveg.png	[0.25, 0.75]	vodor.png	[0.25, -0.75]	fotel.png	[-0.75, -0.25]	fogas.png	[-0.75, -0.75]	zokni.png	[0.75, -0.75]	kamera.png	[-0.75, 0.75]	ceruza.png	[-0.25, 0.25]	ora.png	[-0.75, 0.25]	372.9731017919257	372.9731017919257	372.9731017919257	372.9731017919257	372.9731017919257	372.9731017919257	372.9731017919257	372.9731017919257	372.9731017919257	372.9731017919257	372.9731017919257	372.9731017919257	372.9731017919257	382.96724191703834	396.2930500418879	396.2999954170082	397.7417010839563	396.801242708927	383.48447058396414	image12_2	macko.png	[-0.75, 0.25]	384.9920297919307	384.9920297919307	384.9920297919307	384.9920297919307	384.9920297919307	384.9920297919307	384.9920297919307	384.9920297919307	384.9920297919307	384.9920297919307	384.9920297919307	384.9920297919307	384.9920297919307	0.000641208840534091	396.29233270906843	True	[-0.7652777777777777]	[0.2088888888888889]	[1]	[0]	[0]	[11.322643833002076]	['image12_2']	['macko.png']																		Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	13					0	2	2	2	3	0	3	0	397.7417010839563										396.80166379199363	esernyo.png	[0.25, -0.75]	ceruza.png	[-0.25, 0.25]	macko.png	[-0.75, 0.25]	auto.png	[-0.75, -0.25]	bogre.png	[0.75, -0.25]	kamera.png	[0.25, -0.25]	hajszarito.png	[-0.75, 0.75]	letra.png	[-0.25, -0.25]	ollo.png	[0.25, 0.75]	szemuveg.png	[0.25, 0.25]	papucs.png	[-0.25, 0.75]	laptop.png	[0.75, -0.75]	kad.png	[-0.25, -0.75]	398.30662425002083	398.30662425002083	398.30662425002083	398.30662425002083	398.30662425002083	398.30662425002083	398.30662425002083	398.30662425002083	398.30662425002083	398.30662425002083	398.30662425002083	398.30662425002083	398.30662425002083	408.2845137498807	416.8173310419079	416.82332066702656	418.2492754170671	417.31867604190484	408.78504274995066	image12_2	zokni.png	[-0.25, -0.75]	410.30860658409074	410.30860658409074	410.30860658409074	410.30860658409074	410.30860658409074	410.30860658409074	410.30860658409074	410.30860658409074	410.30860658409074	410.30860658409074	410.30860658409074	410.30860658409074	410.30860658409074	0.0006258748471736908	416.81648449995555	False	[-0.2652777777777778]	[-0.24222222222222223]	[1]	[0]	[0]	[6.530107083031908]	['image7_2']	['letra.png']																		Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	13					0	2	2	2	4	0	4	0	418.2492754170671										417.3191114589572	letra.png	[-0.75, -0.75]	bogre.png	[-0.75, 0.75]	kamera.png	[0.25, -0.75]	szemuveg.png	[-0.25, -0.25]	zokni.png	[-0.25, 0.25]	esernyo.png	[0.75, -0.25]	macko.png	[0.25, -0.25]	hajszarito.png	[-0.75, 0.25]	fagyi.png	[0.75, -0.75]	kad.png	[0.75, 0.25]	auto.png	[-0.25, -0.75]	laptop.png	[0.25, 0.75]	vodor.png	[-0.75, -0.25]	418.84008712507784	418.84008712507784	418.84008712507784	418.84008712507784	418.84008712507784	418.84008712507784	418.84008712507784	418.84008712507784	418.84008712507784	418.84008712507784	418.84008712507784	418.84008712507784	418.84008712507784	428.8090602499433	434.6440284589771	434.65089887497015	435.15203916700557	435.1422588340938	429.31898762495257	image12_2	ora.png	[-0.75, -0.25]	430.8248037500307	430.8248037500307	430.8248037500307	430.8248037500307	430.8248037500307	430.8248037500307	430.8248037500307	430.8248037500307	430.8248037500307	430.8248037500307	430.8248037500307	430.8248037500307	430.8248037500307	0.01595370890572667	434.64337754203007	True	[-0.7277777777777777]	[-0.26666666666666666]	[1]	[0]	[0]	[3.81788691598922]	['image12_2']	['ora.png']																		Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
./R1_visual_memory_2024-05-03_17h56.42.992.csv	13					0	2	2	2																																																																																																									Adrian	34	2024-05-03_17h56.42.992	visual_memory	2023.2.3	None	2024-05-03 17h57.06.248961 +0200	
